 1.16500000e-05  1.20689726e+00  1.16500000e-05  1.80000000e+00 
 1.17500000e-05  1.20688522e+00  1.17500000e-05  1.80000000e+00 
 1.18500000e-05  1.20689949e+00  1.18500000e-05  1.80000000e+00 
 1.19500000e-05  1.20688569e+00  1.19500000e-05  1.80000000e+00 
 1.20500000e-05  1.20690004e+00  1.20500000e-05  1.80000000e+00 
 1.21500000e-05  1.20688557e+00  1.21500000e-05  1.80000000e+00 
 1.22500000e-05  1.20690029e+00  1.22500000e-05  1.80000000e+00 
 1.23500000e-05  1.20688541e+00  1.23500000e-05  1.80000000e+00 
 1.24500000e-05  1.20690046e+00  1.24500000e-05  1.80000000e+00 
 1.25500000e-05  1.20688526e+00  1.25500000e-05  1.80000000e+00 
 1.26500000e-05  1.20690059e+00  1.26500000e-05  1.80000000e+00 
 1.27500000e-05  1.20688515e+00  1.27500000e-05  1.80000000e+00 
 1.28500000e-05  1.20690068e+00  1.28500000e-05  1.80000000e+00 
 1.29500000e-05  1.20688507e+00  1.29500000e-05  1.80000000e+00 
 1.30500000e-05  1.20690075e+00  1.30500000e-05  1.80000000e+00 
 1.31500000e-05  1.20688502e+00  1.31500000e-05  1.80000000e+00 
 1.32500000e-05  1.20690079e+00  1.32500000e-05  1.80000000e+00 
 1.33500000e-05  1.20688499e+00  1.33500000e-05  1.80000000e+00 
 1.34500000e-05  1.20690081e+00  1.34500000e-05  1.80000000e+00 
 1.35500000e-05  1.20688497e+00  1.35500000e-05  1.80000000e+00 
 1.36500000e-05  1.20690081e+00  1.36500000e-05  1.80000000e+00 
 1.37500000e-05  1.20688498e+00  1.37500000e-05  1.80000000e+00 
 1.38500000e-05  1.20690080e+00  1.38500000e-05  1.80000000e+00 
 1.39500000e-05  1.20688500e+00  1.39500000e-05  1.80000000e+00 
 1.40500000e-05  1.20690077e+00  1.40500000e-05  1.80000000e+00 
 1.41500000e-05  1.20688504e+00  1.41500000e-05  1.80000000e+00 
 1.42500000e-05  1.20690073e+00  1.42500000e-05  1.80000000e+00 
 1.43500000e-05  1.20688508e+00  1.43500000e-05  1.80000000e+00 
 1.44500000e-05  1.20690067e+00  1.44500000e-05  1.80000000e+00 
 1.45500000e-05  1.20688514e+00  1.45500000e-05  1.80000000e+00 
 1.46500000e-05  1.20690061e+00  1.46500000e-05  1.80000000e+00 
 1.47500000e-05  1.20688520e+00  1.47500000e-05  1.80000000e+00 
 1.48500000e-05  1.20690054e+00  1.48500000e-05  1.80000000e+00 
 1.49500000e-05  1.20688528e+00  1.49500000e-05  1.80000000e+00 
 1.50500000e-05  1.20690047e+00  1.50500000e-05  1.80000000e+00 
 1.51500000e-05  1.20688535e+00  1.51500000e-05  1.80000000e+00 
 1.52500000e-05  1.20690039e+00  1.52500000e-05  1.80000000e+00 
 1.53500000e-05  1.20688544e+00  1.53500000e-05  1.80000000e+00 
 1.54500000e-05  1.20690030e+00  1.54500000e-05  1.80000000e+00 
 1.55500000e-05  1.20688552e+00  1.55500000e-05  1.80000000e+00 
 1.56500000e-05  1.20690021e+00  1.56500000e-05  1.80000000e+00 
 1.57500000e-05  1.20688562e+00  1.57500000e-05  1.80000000e+00 
 1.58500000e-05  1.20690012e+00  1.58500000e-05  1.80000000e+00 
 1.59500000e-05  1.20688571e+00  1.59500000e-05  1.80000000e+00 
 1.60500000e-05  1.20690002e+00  1.60500000e-05  1.80000000e+00 
 1.61500000e-05  1.20688581e+00  1.61500000e-05  1.80000000e+00 
 1.62500000e-05  1.20689993e+00  1.62500000e-05  1.80000000e+00 
 1.63500000e-05  1.20688591e+00  1.63500000e-05  1.80000000e+00 
 1.64500000e-05  1.20689983e+00  1.64500000e-05  1.80000000e+00 
 1.65500000e-05  1.20688601e+00  1.65500000e-05  1.80000000e+00 
